X,delta0_4_s,delta0_4,delta0_4_real,omega0_4_s,omega0_4,omega_0_4_real
1.7094972067039107,0.19531033,0.16479808,0.20626730292493725,37.57761064,37.54422931,37.59398674994792
1.73463687150838,0.19203639,0.16065787,0.2035655710366996,37.57178087,37.53933468,37.588855074673994
1.7597765363128492,0.1886088,0.15638885,0.20073412152065903,37.56593998,37.53444006,37.583634985173134
1.7849162011173185,0.18502744,0.15199103,0.1977710087429711,37.56010187,37.52954543,37.5783336509885
1.8100558659217878,0.18129258,0.1474644,0.19467440052100926,37.55428068,37.52465081,37.57295993966078
1.835195530726257,0.17740484,0.14280897,0.1914425781233659,37.54849074,37.51975618,37.567524416728226
1.8603351955307263,0.17336525,0.13802473,0.1880747683906338,37.54274658,37.51486156,37.562039243433276
1.8854748603351956,0.16917519,0.13311168,0.18457047580784894,37.53706283,37.50996693,37.55652216300489
1.910614525139665,0.16483645,0.12806983,0.18092803703777757,37.53145424,37.50507231,37.55099625431027
1.9357541899441342,0.1603512,0.12289917,0.17714675243965355,37.52593558,37.50017768,37.54548692531208
1.9608938547486034,0.15572201,0.11759971,0.17322692361506864,37.52052166,37.49528306,37.5400218793033
1.9860335195530727,0.15095182,0.11217144,0.16916985340797233,37.51784274,37.49283575,37.534631114907185
2.011173184357542,0.15073767,0.11267441,0.16497784590467188,37.51466832,37.49840022,37.52934692607728
2.0363128491620115,0.14588394,0.10739258,0.16065420643383216,37.5119108,37.50082774,37.52420390209741
2.0614525139664805,0.14088508,0.1022385,0.15620324156647603,37.50675067,37.50568278,37.51923892758172
2.0865921787709496,0.13575977,0.0972122,0.15163025911598413,37.50230508,37.51053782,37.514491182474615
2.111731843575419,0.13052693,0.09231365,0.1469415681380948,37.49858234,37.51539286,37.51000214205081
2.1368715083798886,0.12520568,0.08754287,0.14214447893090398,37.49558864,37.5202479,37.50581557691529
2.1620111731843576,0.11981528,0.08289986,0.13724730303486576,37.49332804,37.52510294,37.50197755300335
2.1871508379888267,0.11437505,0.07838461,0.132259353232792,37.49180245,37.52995798,37.49853643158056
2.212290502793296,0.10890435,0.07399712,0.12719094354985133,37.49101161,37.53481301,37.49554286924279
2.2374301675977657,0.1034225,0.0697374,0.12205214906089379,37.49095315,37.53966805,37.49304302108728
2.2625698324022347,0.09794873,0.06560544,0.11685097816613188,37.49162253,37.54452309,37.491059575699886
2.287709497206704,0.09250211,0.06160124,0.11160462610113915,37.4930131,37.54937813,37.48964691801789
2.3128491620111733,0.08710152,0.05772481,0.10633137351873292,37.49511613,37.55423317,37.48885691393914
2.337988826815643,0.08176559,0.05397615,0.10104942275428674,37.49792079,37.55908821,37.48873327479356
2.363128491620112,0.07651262,0.05035525,0.09577689782573066,37.50141424,37.56394325,37.48931155734325
2.388268156424581,0.07136055,0.04686211,0.0905318444335507,37.50558161,37.56879829,37.49061916378239
2.4134078212290504,0.06632691,0.04349673,0.08533222996078957,37.5104061,37.57365333,37.4926753417373
2.43854748603352,0.06142877,0.04025913,0.08019594347304634,37.515869,37.57850837,37.49549118426642
2.463687150837989,0.05668265,0.03714928,0.07514079571847605,37.52194975,37.58336341,37.499069629860294
2.488826815642458,0.05210454,0.0341672,0.07018451912779042,37.5251419,37.58579092,37.50340546244161
2.5139664804469275,0.05208558,0.03408206,0.06534476781425755,37.53016176,37.59080909,37.50848531136517
2.539106145251397,0.04763957,0.03123203,0.060639117573701544,37.53490779,37.59525782,37.51428765141789
2.564245810055866,0.04344335,0.02861615,0.056085065884503356,37.54452677,37.6041553,37.5207828028188
2.589385474860335,0.03950361,0.02623442,0.0517000319075996,37.55438571,37.61305277,37.52793293121908
2.6145251396648046,0.03582629,0.02408682,0.047501356486483785,37.56445658,37.62195024,37.535692047702
2.639664804469274,0.03241659,0.02217338,0.043505416144083965,37.57471088,37.63084772,37.54400991324496
2.664804469273743,0.02927896,0.02049407,0.039722543211094315,37.58511972,37.63974519,37.55285096618827
2.689944134078212,0.0264171,0.01904891,0.036165649599452496,37.59565396,37.64864266,37.56215428081154
2.7150837988826817,0.02383391,0.0178379,0.03284681276196695,37.60628419,37.65754014,37.57185407321635
2.740223463687151,0.02153153,0.01686103,0.0297761946831025,37.6169809,37.66643761,37.58188492885445
2.7653631284916202,0.01951132,0.0161183,0.026962041878980193,37.62771452,37.67533508,37.59218180252783
2.7905027932960893,0.01777387,0.01560971,0.024410685397377254,37.63845551,37.68423256,37.602680018388675
2.815642458100559,0.01631898,0.01533527,0.02212654081772713,37.64917443,37.69313003,37.61331526993937
2.8407821229050283,0.01514569,0.01529498,0.020112108251119528,37.65984206,37.7020275,37.62402362003253
2.8659217877094973,0.01425225,0.01548883,0.01836797234030039,37.67042943,37.71092498,37.63474150087097
2.8910614525139664,0.01363618,0.01591682,0.016892802259671876,37.68090792,37.71982245,37.64540571400771
2.916201117318436,0.01329424,0.01657896,0.015683351715292417,37.69124935,37.72871992,37.65595343034598
2.9413407821229054,0.01322246,0.01747524,0.014734458944876613,37.70142607,37.7376174,37.666322190139226
